task,Method_name,execution_time(ms)
Bins,Bins.bins,1.999628
BioinformaticsGlobalAlignment,BioinformaticsGlobalAlignment.main,6923.6125409999995
BioinformaticsGlobalAlignment,BioinformaticsGlobalAlignment.shortestCommonSuperstrings,6900.572973
BioinformaticsGlobalAlignment,BioinformaticsGlobalAlignment.64.apply,6782.422203000001
BioinformaticsGlobalAlignment,BioinformaticsGlobalAlignment.shortestCommonSuperstrings.1,6778.419481000002
BioinformaticsGlobalAlignment,BioinformaticsGlobalAlignment.concatenate,6777.401805000001
BioinformaticsGlobalAlignment,BioinformaticsGlobalAlignment.permutations,25.022106
BioinformaticsGlobalAlignment,BioinformaticsGlobalAlignment.printReport,20.033535999999998
BioinformaticsGlobalAlignment,BioinformaticsGlobalAlignment.65.apply,0.999924
Biorythms,Biorythms.main,25.039058999999998
Biorythms,Biorythms.biorhythms,25.039058999999998
BitcoinAddressValidator,BitcoinAddressValidator.main,29.054416
BitcoinAddressValidator,BitcoinAddressValidator.assertBitcoin,29.054416
BitcoinAddressValidator,BitcoinAddressValidator.validateBitcoinAddress,29.054416
BitcoinAddressValidator,BitcoinAddressValidator.sha256,28.055506
BitcoinAddressValidator,BitcoinAddressValidator.decodeBase58To25Bytes,0.99891
Blah,Blah.main,19.009564000000005
Blah,Blah.print2dArray,19.009564000000005
BlumInteger,BlumInteger.main,87962.78930199996
BlumInteger,BlumInteger.leastPrimeFactor,1811.4351450000001
BlumInteger,BlumInteger.isPrimeType3,110.039408
BlumInteger,BlumInteger.61.apply,44.018492
BogoSort,BogoSort.main,15706.804268
BogoSort,BogoSort.bogo,15697.766275999998
BogoSort,BogoSort.shuffle,15306.575208000002
BogoSort,BogoSort.isSorted,387.193087
BogoSort,BogoSort.display1D,8.021244
BogoSort,BogoSort.swap,1208.2441069999998
BoyerMooreStringSearch,BoyerMooreStringSearch.main,76.075018
BoyerMooreStringSearch,BoyerMooreStringSearch.stringSearch,58.04806400000001
BoyerMooreStringSearch,BoyerMooreStringSearch.badCharacterTable,43.02179300000001
BoyerMooreStringSearch,BoyerMooreStringSearch.64.apply,4.007257
BoyerMooreStringSearch,BoyerMooreStringSearch.badCharacterTable.1,4.007257
BoyerMooreStringSearch,BoyerMooreStringSearch.goodSuffixTable,12.023271999999999
BoyerMooreStringSearch,BoyerMooreStringSearch.fullShiftTable,2.002093
BoyerMooreStringSearch,BoyerMooreStringSearch.fundamentalPreprocess,2.002093
BoyerMooreStringSearch,BoyerMooreStringSearch.matchLength,2.002093
BraceExpansion,BraceExpansion.main,28.033265
BraceExpansion,BraceExpansion.expand,28.033265
BraceExpansion,BraceExpansion.expandR,92.11449300000002
